region,capital,population_2010,population_2021,area_km2,density_2021,growth_2010_2021_percent,cagr_2010_2021_percent,latitude,longitude,urban_share_percent,literacy_percent,school_attendance_percent,employed_share_percent,unemployment_rate_percent,improved_water_percent,basic_sanitation_percent,electricity_access_percent,internet_use_percent,avg_household_size,youth_share_percent,female_share_percent,health_insurance_percent,multidimensional_poverty_percent,population_projection_2030,data_status
Western,Takoradi,1664586,2060585,13842,148.9,23.78963898530926,1.959065220967493,4.88,-1.75,43,76,78,66,8.9,87,59,83,44,3.7,37,50.4,64,26,2453709,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Central,Cape Coast,2201863,2859821,9826,291.0,29.88187730117633,2.4053381810593244,5.11,-1.28,47,78,80,62,10.2,86,56,86,46,3.6,36,51.0,67,24,3541948,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Greater Accra,Accra,4010054,5455692,3245,1681.3,36.05033747675219,2.838210592717516,5.6,-0.19,91,89,88,70,8.1,97,82,96,76,3.2,34,50.9,77,11,7018438,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Volta,Ho,1481363,1659040,9504,174.6,11.99415673268469,1.0351070206028767,6.61,0.47,38,79,81,64,7.7,82,61,78,42,3.8,36,51.2,74,22,1820152,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Eastern,Koforidua,2633154,2925653,19323,151.4,11.108313452232576,0.9621935685146354,6.09,-0.26,52,82,83,66,7.4,88,66,84,48,3.2,35,51.0,73,19,3188980,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Ashanti,Kumasi,4780380,5440463,24389,223.1,13.808170061794245,1.182796052787749,6.69,-1.62,63,84,85,68,7.8,91,69,89,57,3.7,35,50.8,72,17,6047780,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Western North,Sefwi Wiawso,711605,880921,10079,87.4,23.793537144904818,1.9593570995732001,6.21,-2.49,29,72,76,67,6.6,75,44,69,30,4.0,38,49.8,61,31,1049013,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Ahafo,Goaso,484210,564668,5196,108.7,16.61634414820017,1.407257679360141,7.15,-2.52,35,75,78,68,6.3,80,50,76,34,3.9,37,49.9,64,27,640346,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Upper East,Bolgatanga,1046545,1301226,8842,147.2,24.335408415309413,1.99984917231959,10.79,-0.85,26,65,72,58,5.8,74,38,59,24,4.8,40,51.5,82,39,1555065,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Upper West,Wa,702110,901502,18476,48.8,28.398968822549175,2.2984917147441886,10.06,-2.5,31,69,75,61,5.6,78,42,63,27,4.5,39,51.4,80,34,1106088,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Northern,Tamale,1644957,2310939,26534,87.1,40.48628626766535,3.138608204514237,9.4,-0.84,44,63,70,60,6.2,76,40,65,30,5.0,42,50.5,70,36,3051967,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Oti,Dambai,663806,747248,11066,67.5,12.570238895098873,1.0822433091102868,8.07,0.18,18,64,71,65,5.5,70,34,55,22,4.7,41,49.7,68,41,823263,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Bono,Sunyani,922617,1208649,11113,108.8,31.002246869502727,2.4853300408362644,7.34,-2.33,55,81,83,70,5.9,89,63,88,50,3.6,35,50.6,75,18,1507494,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Bono East,Techiman,904156,1203400,23248,51.8,33.09650104627961,2.6332014765816147,7.59,-1.93,41,73,77,69,5.7,82,52,79,38,4.2,39,49.8,66,28,1520551,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
North East,Nalerigu,465005,658946,9070,72.7,41.70729346996269,3.2197796399209944,10.53,-0.37,22,57,67,57,5.2,66,28,48,18,6.0,44,49.6,65,45,876428,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
Savannah,Damongo,469510,653266,34790,18.8,39.13782454047836,3.048215044370517,9.08,-1.82,20,59,68,59,5.0,69,31,52,20,5.5,43,49.5,62,43,855962,Population baseline: GSS 2021 PHC reproduction; development indicators: calibrated demonstration values
